pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,commute,FakeKyiv,4096,28.671337890625,61.2548828125,49.658203125,26
1,1,commute,FakeKyiv,4096,953.50048828125,2.587890625,1.66015625,23
1,1,commute,FakeKyiv,4096,955.5242919921875,2.587890625,1.5869140625,29
1,1,commute,FakeKyiv,4096,924.2716064453125,3.2958984375,2.5390625,25
1,1,commute,FakeKyiv,4096,993.1688232421875,2.3193359375,1.9287109375,22
1,1,commute,FakeKyiv,4096,901.714599609375,2.6611328125,1.5869140625,29
1,1,commute,FakeKyiv,4096,948.902099609375,2.7587890625,1.7333984375,31
2,1,commute,FakeKyiv,4096,47.9009765625,14.84375,5.3955078125,32
2,1,commute,FakeKyiv,4096,53.50501302083333,11.767578125,1.5625,30
2,1,commute,FakeKyiv,4096,54.28973943536932,15.9423828125,9.1796875,33
2,1,commute,FakeKyiv,4096,53.96343439275568,16.1376953125,9.08203125,30
2,1,commute,FakeKyiv,4096,59.159870016163794,12.3779296875,7.470703125,27
2,1,commute,FakeKyiv,4096,61.22879344019397,13.18359375,8.984375,33
0,1,commute,FakeTorino,16,28.91826923076923,50.0,50.0,18
0,1,commute,FakeTorino,16,19.1875,62.5,62.5,18
0,1,commute,FakeTorino,16,8.333333333333334,75.0,25.0,14
0,1,commute,FakeTorino,16,12.0,68.75,12.5,14
0,1,commute,FakeTorino,16,42.55,50.0,50.0,18
0,1,commute,FakeTorino,16,20.0375,62.5,56.25,17
1,1,commute,FakeTorino,16,862.65625,12.5,12.5,22
1,1,commute,FakeTorino,16,875.125,12.5,12.5,20
1,1,commute,FakeTorino,16,925.125,0,0,24
1,1,commute,FakeTorino,16,650.1875,6.25,6.25,21
1,1,commute,FakeTorino,16,787.71875,6.25,0,13
1,1,commute,FakeTorino,16,950.1875,0,0,17
2,1,commute,FakeTorino,16,38.81458333333333,6.25,0,18
2,1,commute,FakeTorino,16,21.827083333333334,43.75,37.5,18
2,1,commute,FakeTorino,16,45.70170454545455,25.0,25.0,27
2,1,commute,FakeTorino,16,48.02556818181818,31.25,25.0,17
2,1,commute,FakeTorino,16,36.452586206896555,31.25,25.0,17
2,1,commute,FakeTorino,16,50.23275862068966,18.75,18.75,17
0,1,commute,FakeTorino,64,22.877403846153847,57.8125,53.125,21
0,1,commute,FakeTorino,64,17.998798076923077,64.0625,56.25,18
0,1,commute,FakeTorino,64,16.696875,59.375,3.125,18
0,1,commute,FakeTorino,64,17.5125,60.9375,6.25,18
0,1,commute,FakeTorino,64,24.490625,60.9375,54.6875,18
0,1,commute,FakeTorino,64,21.90625,62.5,60.9375,21
1,1,commute,FakeTorino,64,772.078125,4.6875,3.125,21
1,1,commute,FakeTorino,64,646.9453125,12.5,10.9375,23
1,1,commute,FakeTorino,64,725.15625,12.5,12.5,18
1,1,commute,FakeTorino,64,734.4765625,7.8125,7.8125,24
1,1,commute,FakeTorino,64,772.09375,3.125,1.5625,22
1,1,commute,FakeTorino,64,840.8203125,7.8125,4.6875,25
2,1,commute,FakeTorino,64,33.09947916666667,34.375,25.0,21
2,1,commute,FakeTorino,64,38.48854166666667,20.3125,4.6875,28
2,1,commute,FakeTorino,64,39.02485795454545,29.6875,20.3125,21
2,1,commute,FakeTorino,64,46.37855113636363,28.125,23.4375,18
2,1,commute,FakeTorino,64,47.3426724137931,14.0625,9.375,22
2,1,commute,FakeTorino,64,61.10290948275862,18.75,14.0625,22
0,1,commute,FakeTorino,256,19.717548076923077,62.5,54.296875,22
0,1,commute,FakeTorino,256,15.543870192307692,68.359375,63.671875,25
0,1,commute,FakeTorino,256,15.677083333333334,64.0625,11.328125,24
0,1,commute,FakeTorino,256,17.316927083333333,61.71875,6.640625,18
0,1,commute,FakeTorino,256,21.98984375,67.578125,58.59375,32
0,1,commute,FakeTorino,256,21.971875,66.015625,61.71875,29
1,1,commute,FakeTorino,256,818.146484375,8.59375,7.03125,20
1,1,commute,FakeTorino,256,798.625,5.859375,5.078125,19
1,1,commute,FakeTorino,256,727.490234375,8.203125,7.03125,27
1,1,commute,FakeTorino,256,733.01171875,5.078125,5.078125,19
1,1,commute,FakeTorino,256,861.9375,4.296875,3.90625,26
1,1,commute,FakeTorino,256,785.375,5.46875,1.171875,23
2,1,commute,FakeTorino,256,36.39453125,22.265625,13.671875,23
2,1,commute,FakeTorino,256,27.448307291666666,34.765625,26.953125,21
2,1,commute,FakeTorino,256,47.94833096590909,28.90625,23.4375,25
2,1,commute,FakeTorino,256,48.09836647727273,26.953125,21.484375,27
2,1,commute,FakeTorino,256,42.31209590517241,30.078125,25.78125,30
2,1,commute,FakeTorino,256,51.40355603448276,15.625,11.71875,28
0,1,commute,FakeTorino,1024,16.1943359375,67.96875,59.27734375,29
0,1,commute,FakeTorino,1024,19.577674278846153,63.76953125,54.78515625,32
0,1,commute,FakeTorino,1024,15.055598958333333,67.7734375,8.10546875,28
0,1,commute,FakeTorino,1024,17.4619140625,63.4765625,8.0078125,28
0,1,commute,FakeTorino,1024,25.2330078125,64.16015625,58.203125,33
0,1,commute,FakeTorino,1024,22.471875,64.74609375,55.95703125,25
1,1,commute,FakeTorino,1024,796.92236328125,5.37109375,4.00390625,25
1,1,commute,FakeTorino,1024,787.87353515625,6.0546875,5.078125,23
1,1,commute,FakeTorino,1024,783.22021484375,8.7890625,8.3984375,26
1,1,commute,FakeTorino,1024,858.81884765625,5.859375,5.078125,25
1,1,commute,FakeTorino,1024,827.7900390625,5.56640625,2.44140625,26
1,1,commute,FakeTorino,1024,778.5419921875,7.03125,4.4921875,24
2,1,commute,FakeTorino,1024,24.865462239583334,35.83984375,26.5625,32
2,1,commute,FakeTorino,1024,38.306575520833334,19.04296875,12.109375,32
2,1,commute,FakeTorino,1024,45.03475674715909,27.63671875,20.3125,32
