num_qubits,num_shared_variables,Layers,num_constraint,depth,culled_depth
40,2,1,20,92,28
40,4,1,20,165,72
40,6,1,20,273,118
40,8,1,20,366,161
40,10,1,20,458,201
40,12,1,20,462,206
40,14,1,20,469,210
40,16,1,20,548,246
40,18,1,20,646,287
40,20,1,20,651,291
