num_qubits,num_shared_variables,Layers,num_constraint,depth,culled_depth
40,2,1,20,74,27
40,4,1,20,145,72
40,6,1,20,256,117
40,8,1,20,346,161
40,10,1,20,438,201
40,12,1,20,442,206
40,14,1,20,452,209
40,16,1,20,528,246
40,18,1,20,626,287
40,20,1,20,631,291
