pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
4,1,12,6,commute,0.5305851023950046,100.0,32.65234375,28.405
5,1,15,9,commute,0.8297412883815243,100.0,19.38427734375,23.42
6,1,24,12,commute,1.9560754083040188,100.0,2.75048828125,27.795
7,1,28,16,commute,1.8248092847445143,100.0,0.2587890625,24.4375
