pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
4,1,12,6,commute,0.4188804917190435,100.0,69.6875,52.08
5,1,15,9,commute,1.145361917667922,100.0,67.1201171875,39.86
6,1,24,12,commute,1.4982108415623463,100.0,17.119140625,55.32
7,1,28,16,commute,1.9569499654089164,100.0,9.501953125,53.775
