pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
2,6,21,12,penalty,126.99344438429436,0.166015625,0.0,125.5
2,7,21,12,HEA,180.88522598346603,0.0,0.0,151.0
2,7,21,12,commute,0.6623127370857695,100.0,5.625,146.7
2,7,21,12,cyclic,94.6168325373686,0.341796875,0.01953125,139.5
2,7,21,12,penalty,144.94369966398182,0.0390625,0.0,137.0
3,1,28,15,HEA,182.95372338998146,0.0,0.0,151.0
3,1,28,15,commute,0.43450358963163493,100.0,12.158203125,27.7
3,1,28,15,cyclic,104.45487497383506,0.791015625,0.01953125,32.3
3,1,28,15,penalty,234.4788429809815,0.0,0.0,30.5
3,2,28,15,HEA,243.5925061644851,0.0,0.0,151.0
3,2,28,15,commute,0.27009854098062747,100.0,24.716796875,50.3
3,2,28,15,cyclic,84.18426138044289,0.80078125,0.0,51.0
3,2,28,15,penalty,165.03348538890629,0.0,0.0,51.8
3,3,28,15,HEA,255.484438801461,0.0,0.0,151.0
3,3,28,15,commute,0.4024952790543418,100.0,13.232421875,71.6
3,3,28,15,cyclic,81.4584803502257,2.041015625,0.0,73.0
3,3,28,15,penalty,179.77895721639806,0.0,0.0,69.6
3,4,28,15,HEA,259.87007128181403,0.0,0.0,151.0
3,4,28,15,commute,0.4799119802808896,100.0,14.66796875,91.7
3,4,28,15,cyclic,89.10809426120802,1.904296875,0.0,87.9
3,4,28,15,penalty,140.21606292927203,0.01953125,0.0,91.6
3,5,28,15,HEA,255.64931544567366,0.0,0.0,151.0
3,5,28,15,commute,0.5574018997414736,100.0,9.43359375,107.0
3,5,28,15,cyclic,96.57183781468112,0.146484375,0.0,101.8
3,5,28,15,penalty,181.07102100878848,0.0,0.0,105.4
3,6,28,15,HEA,257.13765852116944,0.0,0.0,151.0
3,6,28,15,commute,0.5168227830547616,100.0,14.921875,126.0
3,6,28,15,cyclic,83.34038710696085,0.87890625,0.0,131.9
3,6,28,15,penalty,169.98074986016303,0.0,0.0,126.1
3,7,28,15,HEA,257.1223393492686,0.0,0.0,151.0
3,7,28,15,commute,0.6162592319178655,100.0,7.5390625,141.5
3,7,28,15,cyclic,97.66626046628252,0.56640625,0.01953125,141.8
3,7,28,15,penalty,176.6589593216654,0.0,0.0,142.1
4,1,12,6,HEA,482.8639322916667,0.13020833333333334,0.0,151.0
4,1,12,6,commute,0.05859375,100.0,88.28125,24.666666666666668
4,1,12,6,cyclic,221.63557942708334,30.924479166666668,0.7486979166666666,31.666666666666668
4,1,12,6,penalty,1177.3963216145833,0.032552083333333336,0.0,28.666666666666668
4,2,12,6,HEA,767.8440755208334,0.7486979166666666,0.5208333333333334,151.0
4,2,12,6,commute,0.0026041666666666665,100.0,99.47916666666667,46.666666666666664
4,2,12,6,cyclic,48.79248046875,77.47395833333333,2.05078125,54.666666666666664
4,2,12,6,penalty,981.8567708333334,1.6276041666666667,1.4322916666666667,48.666666666666664
4,3,12,6,HEA,1034.41015625,0.4231770833333333,0.2604166666666667,151.0
4,3,12,6,commute,0.005533854166666667,100.0,98.89322916666667,70.66666666666667
4,3,12,6,cyclic,159.83479817708334,54.1015625,16.145833333333332,78.66666666666667
4,3,12,6,penalty,857.3826497395834,0.2604166666666667,0.1953125,71.0
4,4,12,6,HEA,1131.4920247395833,1.3020833333333333,1.2044270833333333,151.0
4,4,12,6,commute,0.009602864583333334,100.0,98.07942708333333,80.66666666666667
4,4,12,6,cyclic,119.91487630208333,62.369791666666664,5.110677083333333,111.33333333333333
4,4,12,6,penalty,857.07666015625,2.7669270833333335,1.8229166666666667,92.0
4,5,12,6,HEA,1123.6048177083333,0.5208333333333334,0.29296875,151.0
4,5,12,6,commute,0.018717447916666668,100.0,96.25651041666667,95.66666666666667
4,5,12,6,cyclic,193.931640625,41.959635416666664,4.557291666666667,123.33333333333333
4,5,12,6,penalty,928.0037434895834,3.2877604166666665,2.734375,110.66666666666667
4,6,12,6,HEA,1117.3038736979167,0.4231770833333333,0.1953125,151.0
4,6,12,6,commute,0.004557291666666667,100.0,99.08854166666667,122.66666666666667
4,6,12,6,cyclic,302.5911458333333,17.643229166666668,7.975260416666667,124.66666666666667
4,6,12,6,penalty,1079.017578125,0.5208333333333334,0.4231770833333333,126.66666666666667
4,7,12,6,HEA,1144.25,0.3580729166666667,0.2604166666666667,151.0
4,7,12,6,commute,0.011555989583333334,100.0,97.68880208333333,132.0
4,7,12,6,cyclic,216.96647135416666,39.973958333333336,10.05859375,148.66666666666666
4,7,12,6,penalty,697.8092447916666,4.166666666666667,2.44140625,147.66666666666666
5,1,15,9,HEA,704.9931640625,0.0,0.0,151.0
5,1,15,9,commute,0.24755859375,100.0,50.48828125,21.0
5,1,15,9,cyclic,627.951171875,1.1067708333333333,0.09765625,35.0
5,1,15,9,penalty,1592.6642252604167,0.0,0.0,34.333333333333336
5,2,15,9,HEA,1561.4973958333333,0.16276041666666666,0.13020833333333334,151.0
5,2,15,9,commute,0.08561197916666667,100.0,82.87760416666667,49.333333333333336
5,2,15,9,cyclic,40.537760416666664,81.86848958333333,0.09765625,71.0
5,2,15,9,penalty,1518.0030924479167,0.06510416666666667,0.032552083333333336,43.666666666666664
5,3,15,9,HEA,1734.2141927083333,0.0,0.0,151.0
5,3,15,9,commute,0.08723958333333333,100.0,82.55208333333333,66.33333333333333
5,3,15,9,cyclic,215.67692057291666,39.973958333333336,0.06510416666666667,80.33333333333333
5,3,15,9,penalty,1273.5183919270833,0.9440104166666666,0.78125,72.33333333333333
5,4,15,9,HEA,1711.83447265625,0.0,0.0,151.0
