pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,47,1,6,3,commute,"[0.0, 1.3609730113636365]","[100.0, 100.0]","[100.0, 0]","[13, 29]"
0,48,1,6,3,commute,"[0.0, 0.001644736842105263]","[100.0, 100.0]","[100.0, 99.8046875]","[13, 30]"
0,49,1,6,3,commute,"[1.4166666666666667, 0.0017903645833333333]","[100.0, 100.0]","[0, 99.90234375]","[13, 28]"
0,50,1,6,3,commute,"[0.0, 2.8271484375]","[100.0, 100.0]","[100.0, 0]","[13, 29]"
0,51,1,6,3,commute,"[1.9090909090909092, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 28]"
0,52,1,6,3,commute,"[0.0, 0.0004725302419354839]","[100.0, 100.0]","[100.0, 99.90234375]","[13, 30]"
0,53,1,6,3,commute,"[1.125, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,54,1,6,3,commute,"[0.5333333333333333, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 22]"
0,55,1,6,3,commute,"[0.0, 0.13636363636363635]","[100.0, 100.0]","[100.0, 0]","[13, 22]"
0,56,1,6,3,commute,"[0.0, 0.16666666666666666]","[100.0, 100.0]","[100.0, 0]","[13, 23]"
0,57,1,6,3,commute,"[0.0, 0.5852272727272727]","[100.0, 100.0]","[100.0, 0]","[13, 27]"
0,58,1,6,3,commute,"[1.1428571428571428, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 26]"
0,59,1,6,3,commute,"[0.21739130434782608, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,60,1,6,3,commute,"[1.1111111111111112, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,61,1,6,3,commute,"[0.3333333333333333, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 21]"
0,62,1,6,3,commute,"[0.875, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 28]"
0,63,1,6,3,commute,"[0.0, 1.5562065972222223]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,64,1,6,3,commute,"[2.0, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 21]"
0,65,1,6,3,commute,"[1.4615384615384615, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,66,1,6,3,commute,"[2.1, 0.0029296875]","[100.0, 100.0]","[0, 99.90234375]","[13, 23]"
0,67,1,6,3,commute,"[0.0, 0.13333333333333333]","[100.0, 100.0]","[100.0, 0]","[13, 21]"
0,68,1,6,3,commute,"[0.0, 2.9173177083333335]","[100.0, 100.0]","[100.0, 0]","[13, 29]"
0,69,1,6,3,commute,"[0.0, 0.5001627604166666]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,70,1,6,3,commute,"[1.0, 0.00439453125]","[100.0, 100.0]","[0, 99.70703125]","[13, 29]"
0,71,1,6,3,commute,"[0.0, 1.2718394886363635]","[100.0, 100.0]","[100.0, 0]","[13, 33]"
0,72,1,6,3,commute,"[0.0, 1.1538461538461537]","[100.0, 100.0]","[100.0, 0]","[13, 27]"
0,73,1,6,3,commute,"[0.38461538461538464, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 22]"
0,74,1,6,3,commute,"[0.3, 0.00087890625]","[100.0, 100.0]","[0, 99.90234375]","[13, 32]"
0,75,1,6,3,commute,"[0.5, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,76,1,6,3,commute,"[0.6521739130434783, 0.0009765625]","[100.0, 100.0]","[0, 99.90234375]","[13, 28]"
0,77,1,6,3,commute,"[0.5, 0.0013020833333333333]","[100.0, 100.0]","[0, 99.90234375]","[13, 28]"
0,78,1,6,3,commute,"[0.29411764705882354, 0.0005170036764705882]","[100.0, 100.0]","[0, 99.90234375]","[13, 22]"
