pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
8,0,7,8,6,cyclic,0.12620326450892833,12.109375,5.2734375,151
8,1,7,8,6,cyclic,0.1075390625,90.91796875,48.2421875,151
8,2,7,8,6,cyclic,0.01387532552083326,20.8984375,15.52734375,151
8,3,7,8,6,cyclic,0.2715169270833334,68.26171875,45.3125,145
9,0,7,18,9,cyclic,0.3228737997256509,2.44140625,0,141
9,1,7,18,9,cyclic,0.2927017571548805,7.03125,1.953125,151
9,2,7,18,9,cyclic,0.31325276692708104,14.35546875,2.83203125,138
9,3,7,18,9,cyclic,0.2698124346624837,8.3984375,0.5859375,151
10,0,7,24,11,cyclic
