num_qubits,ours,unitary
3,3,0.0009867290500551462,25,29,
3,6,0.07274494110606611,63,32,
3,5,0.025225912919268012,63,32,
3,4,0.028205609880387783,63,32,
3,3,0.03241645894013345,63,32,
3,2,0.03223604499362409,63,32,
3,2,0.02091965195722878,29,6,
4,4,0.0009410299826413393,27,37,
4,6,0.042486890917643905,101,54,
4,5,0.04391391598619521,101,54,
4,4,0.04265214200131595,101,54,
4,3,0.04312629601918161,101,54,
4,2,0.043074258137494326,101,54,
4,2,0.0775532010011375,172,6,
5,5,0.0010610709432512522,29,39,
5,6,0.0574689491186291,132,88,
5,5,0.05379836796782911,132,88,
5,4,0.08827598812058568,132,88,
5,3,0.06315392185933888,132,88,
5,2,0.06484322296455503,132,88,
5,2,0.36529561202041805,795,7,
6,6,0.0011128101032227278,31,41,
6,6,0.07839066511951387,182,122,
6,5,0.07822063914500177,182,122,
6,4,0.07923944713547826,182,122,
6,3,0.07687902310863137,182,122,
6,2,0.07838974497281015,182,122,
6,2,1.7013157450128347,3485,6,
7,7,0.00128907710313797,33,41,
7,6,0.19650480221025646,410,212,
7,5,0.166487704962492,410,212,
7,4,0.1687243019696325,410,212,
7,3,0.16691037407144904,410,212,
7,2,0.16691187606193125,410,212,
7,2,8.994403718970716,14102,6,
8,8,0.0012723100371658802,35,43,
8,6,0.24748782813549042,622,302,
8,5,0.2920595679897815,622,302,
8,4,0.24728912813588977,622,302,
8,3,0.24604813405312598,622,302,
8,2,0.2738832961767912,622,302,
8,2,53.68185429018922,59005,6,
